Date;Time;<Дятьковская> СВ 110 кВ Ia;<Дятьковская> СР-1 110;
04.01.2022;08:30:00.000;157.206;1.0;
04.01.2022;09:00:00.000;162.034;1.0;
04.01.2022;09:30:00.000;165.916;1.0;
04.01.2022;10:00:00.000;165.089;1.0;
04.01.2022;10:30:00.000;166.361;1.0;
04.01.2022;11:00:00.000;160.700;1.0;
04.01.2022;11:30:00.000;160.330;1.0;
04.01.2022;12:00:00.000;163.390;1.0;
04.01.2022;12:30:00.000;162.989;1.0;
04.01.2022;13:00:00.000;161.450;1.0;
04.01.2022;13:30:00.000;150.581;1.0;
04.01.2022;14:00:00.000;152.102;1.0;
04.01.2022;14:30:00.000;159.822;1.0;
04.01.2022;15:00:00.000;157.469;1.0;
04.01.2022;15:30:00.000;156.617;1.0;
04.01.2022;16:00:00.000;159.095;1.0;
04.01.2022;16:30:00.000;155.230;1.0;
04.01.2022;17:00:00.000;150.524;1.0;
04.01.2022;17:30:00.000;153.198;1.0;
04.01.2022;18:00:00.000;150.985;1.0;
04.01.2022;18:30:00.000;152.746;1.0;
04.01.2022;19:00:00.000;157.232;1.0;
04.01.2022;19:30:00.000;158.395;1.0;
04.01.2022;20:00:00.000;158.001;1.0;
04.01.2022;20:30:00.000;159.517;1.0;
04.01.2022;21:00:00.000;151.180;1.0;
04.01.2022;21:30:00.000;126.624;1.0;
04.01.2022;22:00:00.000;131.010;1.0;
04.01.2022;22:30:00.000;114.685;1.0;
04.01.2022;23:00:00.000;108.610;1.0;
04.01.2022;23:30:00.000;100.216;1.0;
05.01.2022;00:00:00.000;94.392;1.0;
05.01.2022;00:30:00.000;93.992;1.0;
05.01.2022;01:00:00.000;100.748;1.0;
05.01.2022;01:30:00.000;98.112;1.0;
05.01.2022;02:00:00.000;102.889;1.0;
05.01.2022;02:30:00.000;108.156;1.0;
05.01.2022;03:00:00.000;119.109;1.0;
05.01.2022;03:30:00.000;129.269;1.0;
05.01.2022;04:00:00.000;141.588;1.0;
05.01.2022;04:30:00.000;137.552;1.0;
05.01.2022;05:00:00.000;138.052;1.0;
